authors,title,series,genres,availability,publication_date,editor,pages,isbn,summary,cover_path
"Adichie, Chimamanda Ngozi",Americanah,,Roman,,06/04/2013,Fourth Estate,497,9780007356348,"From the award-winning author of 'Half of a Yellow Sun,' a powerful story of love, race and identity. As teenagers in Lagos, Ifemelu and Obinze fall in love. Their Nigeria is under military dictatorship, and people are fleeing the country if they can. The self-assured Ifemelu departs for America. There she suffers defeats and triumphs, finds and loses relationships, all the while feeling the weight of something she never thought of back home: race. Obinze had hoped to join her, but post-9/11 America will not let him in, and he plunges into a dangerous, undocumented life in London. Thirteen years later, Obinze is a wealthy man in a newly democratic Nigeria, while Ifemelu has achieved success as a blogger. But after so long apart and so many changes, will they find the courage to meet again, face to face? Fearless, gripping, spanning three continents and numerous lives, the National Book Critics Circle Award-winning 'Americanah' is a richly told story of love and expectation set in today's globalized world.",/MyLibrary/Images/Books/69.png
"Alcott, Louisa May",Little Women,,"Roman, Classiques",,02/08/2012,Vintage Children's Classics,432,9780099572961,"Christmas won't be the same this year for Meg, Jo, Beth and Amy, as their father is away fighting in the Civil War, and the family has fallen on hard times.
But though they may be poor, life for the four March sisters is rich with colour, as they play games, put on wild theatricals, make new friends, argue, grapple with their vices, learn from their mistakes, nurse each other through sickness and disappointments, and get into all sorts of trouble.",/MyLibrary/Images/Books/70.png
"Amade, Louis",L'éternité + un jour,,Poésie,,1966,Seghers,138,OCLC:459383193,"Auteur de romans, de livres de poèmes, auteur de textes de films, de «l'opéra d'Aran"", de la
cantate ""L'enfant à l'étoile"", Louis Amade est surtout ct avant tout poète. Le poète de tous les jours qui s'efforce de rendre au grand public ce que le grand public lui a donné. Ses vers devenus chansons par le sortilège de la musique et le génial talent de Gilbert Bécaud courent
le monde. Qui n'a pas aux lèvres ne serait-ce qu'une chanson de lui ?
Après ""Chef-lieu la terre"", nous présentons aujourd'hui avec ""L'éternité + un jour"", sous
une couverture de Louis Touchagues, quelques-uns des derniers poèmes de Louis Amade. Avant que de les entendre chanter peut-ĉtre, les voici pour vous dans le silence des pages blanches.",/MyLibrary/Images/Books/10.png
"Nin, Anaïs",Les petits oiseaux : Erotica II,,Érotique,,1983,Lgf/livre de poche / Le livre de poche,158,9782253027478,"Depuis sa publication, Venus erotica n'a cessé de figurer sur la liste des best-sellers. Les Petits Oiseaux Constitue la suite et fin de ces textes érotiques écrits sur commande en 1940 et qu'1nais
Nin avait finalement décidé de sortir du purgatoire où ils se trouvaient relégués « parce qu'ils représentent les premiers efforts d'une femme pour parler d'un domaine qui avait été jusqu'alors réservé aux hommes. »",/MyLibrary/Images/Books/144.png
"Artaud, Antonin",Le théâtre et son double,,Essai,,1964,Gallimard,260,,"Briser le langage pour toucher la vie ; faire entrer la métaphysique dans les esprits… Publié en 1938, alors qu’Antonin Artaud, quarante-deux ans, est interné depuis plusieurs mois déjà, «Le Théâtre et son double» est révolutionnaire. Affirmant la prééminence du corps sur le texte et du metteur en scène sur l’auteur lui-même, il défend le théâtre comme phénomène extrême, cérémonie magique, expérience directe du sacré. On a pu comparer ce livre mondialement célèbre à «La »«Naissance de la tragédie», de Nietzsche, et c’est vrai – une puissance le traverse, un souffle follement poétique, qui nous ouvre à des forces nouvelles, nous anime et nous transforme.",/MyLibrary/Images/Books/258.png
"Asimov, Isaac",Fondation,,SF,,05/10/2006,TASCHEN,960,9782207257357,"En ce début de treizième millénaire, l'Empire n'a jamais été aussi puissant, aussi étendu à travers toute la galaxie. C'est dans sa capitale, Trantor, que l'éminent savant Hari Seldon invente la psychohistoire, une science toute nouvelle, à base de psychologie et de mathématiques, qui lui permet de prédire l'avenir... C'est-à-dire l'effondrement de l'Empire d'ici cinq siècles et, au-delà, trente mille années de chaos et de ténèbres. Pour empêcher cette catastrophe et sauver la civilisation, Seldon crée la Fondation. Récompensé par le prix Hugo de la ""meilleure série de science-fiction de tous les temps"", le cycle de Fondation est l'oeuvre-socle de la S.-F. moderne, tous les amateurs du genre l'ont lu ou le liront un jour.",/MyLibrary/Images/Books/71.png
"Atwood, Margaret",Les Testaments,,Roman,,10/10/2019,Robert Laffont,552,9782221243114,"Quinze ans après les événements de La Servante écarlate, le régime théocratique de la République de Galaad a toujours la mainmise sur le pouvoir, mais des signes ne trompent pas : il est en train de pourrir de l'intérieur.
À cet instant crucial, les vies de trois femmes radicalement différentes convergent, avec des conséquences potentiellement explosives. Deux d'entre elles ont grandi de part et d'autre de la frontière : l'une à Galaad, comme la fille privilégiée d'un Commandant de haut rang, et l'autre au Canada, où elle participe à des manifestations contre Galaad tout en suivant sur le petit écran les horreurs dont le régime se rend coupable. Aux voix de ces deux jeunes femmes appartenant à la première génération à avoir grandi sous cet ordre nouveau se mêle une troisième, celle d'un des bourreaux du régime, dont le pouvoir repose sur les secrets qu'elle a recueillis sans scrupules pour un usage impitoyable. Et ce sont ces secrets depuis longtemps enfouis qui vont réunir ces trois femmes, forçant chacune à s'accepter et à accepter de défendre ses convictions profondes. En dévoilant l'histoire des femmes des Testaments, Margaret Atwood nous donne à voir les rouages internes de Galaad dans un savant mélange de suspense haletant, de vivacité d'esprit et de virtuosité créatrice.",/MyLibrary/Images/Books/74.png
"Austen, Jane",Sense and Sensibility,,"Roman, Classiques",,1995,Penguin Books,434,9781770482807,"Jane Austen's first published novel, Sense and Sensibility, is a witty satire of the sentimental novel, a popular genre in Britain throughout the 1790s and the Regency. When it first appeared in 1811, the words in its title carried significant cultural weight beyond the confines of the novel, and into both popular and learned discourse. Through her dual heroines, Austen addresses, and satirizes, notions of sense and sensibility, and engages with the issues of inheritance, marriage, and love. The story concerns two sisters: the level-headed Elinor and the passionate and impulsive Marianne. When their father dies, his son by a previous marriage assumes possession of the family home. Marianne and Elinor, left to the care of their mercenary brother John and his wife Fanny, must remove to a cottage with their mother. Each sister meets a man in whom she is interested, and as with other Austen novels, requited love does not come easily. This newly annotated edition offers a thorough and perceptive introduction and a wide range of carefully selected contextual materials that further explore the term ""sensibility.""",/MyLibrary/Images/Books/72.png
"Austen, Jane; Winters, Ben H.; Smith, Eugene",Sense and Sensibility and Sea Monsters,,Roman,,15/09/2009,Quirk Books,474,9781594744426,"From the publisher of ""Pride and Prejudice and Zombies"" comes a new tale of romance, heartbreak, and tentacled mayhem. ""Sense and Sensibility and Sea Monsters"" expands the original text of the beloved Jane Austen novel with all-new scenes of giant lobsters, rampaging octopi, two-headed sea serpents, and other biological monstrosities. As our story opens, the Dashwood sisters are evicted from their childhood home and sent to live on a mysterious island full of savage creatures and dark secrets. While sensible Elinor falls in love with Edward Ferrars, her romantic sister Marianne is courted by both the handsome Willoughby and the hideous man-monster Colonel Brandon. Can the Dashwood sisters triumph over meddlesome matriarchs and unscrupulous rogues to find true love? Or will they fall prey to the tentacles that are forever snapping at their heels? This masterful portrait of Regency England blends Jane Austen's biting social commentary with ultraviolent depictions of sea monsters biting. It's survival of the fittest and only the swiftest swimmers will find true love!",/MyLibrary/Images/Books/73.png
"Auster, Paul",Brooklyn Follies,,Roman,,2008,Le Livre de Poche,,9782253118558,"À l'aube de ses 60 ans, atteint d'un cancer, Nathan Glass cherche un lieu où finir ses jours. Ce sera Brooklyn, où il retrouve par hasard son neveu Tom, tout aussi désabusé que lui. Mêlant dès lors leurs solitudes et croisant d'autres citadins perdus, ils reprennent en main leur destin et collectent les bonheurs du quotidien. Paul Auster, plus optimiste que d'ordinaire, offre une réflexion attachante sur (le sens de) la vie, pleine d'espoir et de cette magie qui lui est propre.",/MyLibrary/Images/Books/75.png
